spine_no,cover_img,title,url,director,country,year
724,https://s3.amazonaws.com/criterion-production/films/8ee8b30fd8b04c0925a571a6aa83551b/AMKYaHIhWGuRsN3wZvDOZojSyG2ZaD_thumbnail.jpg,All That Jazz,https://www.criterion.com/films/28561-all-that-jazz,Bob Fosse,United States,1979
,https://s3.amazonaws.com/criterion-production/films/a542db89247489d8305dafba6620ad4e/gNegY1fNjIg43C6vk8OCMNf2g1aS35_thumbnail.jpg,All These Women,https://www.criterion.com/films/27671-all-these-women,Ingmar Bergman,Sweden,1964
25,https://s3.amazonaws.com/criterion-production/films/7053ad19be02c2f5762fcaaa159d2610/zhh3azNCrMn6HnSV8q2KdvWcxgbGyc_thumbnail.jpg,Alphaville,https://www.criterion.com/films/207-alphaville,Jean-Luc Godard,France,1965
4,https://s3.amazonaws.com/criterion-production/films/84514daa31d11ecc8efb89a53abba2f8/u6uT9NDu4YUQGebS2sXinyxWiNLJIp_thumbnail.jpg,Amarcord,https://www.criterion.com/films/208-amarcord,Federico Fellini,Italy,1973
,https://s3.amazonaws.com/criterion-production/product_images/1864-79581df36332f7a1f027b81311c9e0f9/j8fKXLhpRU7m0dGwebBdwZLgrXaO26_small.jpg,America Lost and Found: The BBS Story,https://www.criterion.com/boxsets/769-america-lost-and-found-the-bbs-story,,,
793,https://s3.amazonaws.com/criterion-production/films/bfc170fd79de2f1298ae0115534a9594/YIHd0ub4uOeANf4KvdgkkwZFqg0p6D_thumbnail.jpg,The American Friend,https://www.criterion.com/films/28763-the-american-friend,Wim Wenders,Germany,1977
,https://s3.amazonaws.com/criterion-production/films/391f3d5266f94d20191230447e42515f/pogiDpUsRlcGFlLqxkT3xmU5S9PF10_thumbnail.jpg,The American Soldier,https://www.criterion.com/films/27951-the-american-soldier,Rainer Werner Fassbinder,Germany,1970
817,https://s3.amazonaws.com/criterion-production/films/58cac693035172b69c7684a7ae929829/dCY15ZqPrfGXF5TJsvMHuivIBO2sEg_thumbnail.jpg,Le amiche,https://www.criterion.com/films/28632-le-amiche,Michelangelo Antonioni,Italy,1955
,https://s3.amazonaws.com/criterion-production/films/383d8a7d40762165ed0eeefb3f475755/7iG3D8YVVdC0EMhYGIyDR8lJaBudTD_thumbnail.jpg,El amor brujo,https://www.criterion.com/films/885-el-amor-brujo,Carlos Saura,Spain,1986
1060,https://s3.amazonaws.com/criterion-production/films/4183334bba36a2aa385a8c7d3915e524/mp16EB371UByNpzZ8trEQghLx1EiZv_thumbnail.jpg,Amores perros,https://www.criterion.com/films/30908-amores-perros,Alejandro G. Iñárritu,Mexico,2000
600,https://s3.amazonaws.com/criterion-production/films/303871dba84408054692162d362e800f/DZ4pikcV8PR878mzRBY3nRygvVnyXH_thumbnail.jpg,Anatomy of a Murder,https://www.criterion.com/films/27901-anatomy-of-a-murder,Otto Preminger,United States,1959
617,https://s3.amazonaws.com/criterion-production/films/283b78c881c289756e21a5dd88c921b2/RyFBAndA3bKfYsY4sf6NO02158MiaR_thumbnail.jpg,And Everything Is Going Fine,https://www.criterion.com/films/27874-and-everything-is-going-fine,Steven Soderbergh,United States,2010
77,https://s3.amazonaws.com/criterion-production/films/bca07f5e4a908871739d665ddb2b60a2/W7dw9STqtbOBxehSpyuxW1NeEwspGi_thumbnail.jpg,And God Created Woman,https://www.criterion.com/films/616-and-god-created-woman,Roger Vadim,France,1956
991,https://s3.amazonaws.com/criterion-production/films/b3a96bc84d9f889e0c8efd9ecd9dadae/8DA1TFta3dWtinQi5aa4WYwLJqEQj0_thumbnail.jpg,And Life Goes On,https://www.criterion.com/films/28639-and-life-goes-on,Abbas Kiarostami,Iran,1992
,https://s3.amazonaws.com/criterion-production/product_images/1880-d84b68ccfdfdb7ef19d89946ab43b5cb/XxW9C5BcXk4DjYmbLD9UBavXz6xwa0_small.jpg,André Gregory & Wallace Shawn: 3 Films,https://www.criterion.com/boxsets/1110-andr-gregory-wallace-shawn-3-films,,,
34,https://s3.amazonaws.com/criterion-production/films/cef59cc409f2026448ee1292336bb5c2/USAkq7ABJffPQM1hvXfwfvMQntufhR_thumbnail.jpg,Andrei Rublev,https://www.criterion.com/films/300-andrei-rublev,Andrei Tarkovsky,Soviet Union,1966
,https://s3.amazonaws.com/criterion-production/films/e5143fe569bd9242bdb2b475ef51f4f2/GGcYlq4h2GFwNG3QECGUmg0DgszIm9_thumbnail.jpg,Androcles and the Lion,https://www.criterion.com/films/6225-androcles-and-the-lion,Chester Erskine,United Kingdom,1952
282,https://s3.amazonaws.com/criterion-production/product_images/1878-d753be32254186084fdb034ba6170a04/ytgENOPbs8VJ0e3nRGCtvhuYESgw8X_small.jpg,Andrzej Wajda: Three War Films,https://www.criterion.com/boxsets/528-andrzej-wajda-three-war-films,,,
,https://s3.amazonaws.com/criterion-production/films/da73b74372f154774aea78cafa6ea7f0/dlUrVNiTxRucktTqhZcCqtPJDakTS6_thumbnail.jpg,. . . And the Pursuit of Happiness,https://www.criterion.com/films/676--and-the-pursuit-of-happiness,Louis Malle,France,1986
50,https://s3.amazonaws.com/criterion-production/films/ff71d5f508ab643354b80f6ab05938ac/HKDRAHCIBIIGRyKicVhjLZQDaZZuO6_thumbnail.jpg,And the Ship Sails On,https://www.criterion.com/films/587-and-the-ship-sails-on,Federico Fellini,Italy,1983
301,https://s3.amazonaws.com/criterion-production/films/6785927db8aa1f07dd1962db2eb90fbe/4kQ3PHhymsEpnTpTNBvZV8NdK2i3C7_thumbnail.jpg,An Angel at My Table,https://www.criterion.com/films/742-an-angel-at-my-table,Jane Campion,New Zealand,1990
